koi_period,koi_duration,koi_depth,koi_prad,koi_impact,koi_model_snr,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_disposition,kepid
53.3580444,6.812,736.1,3.41,0.905,19.7,474.0,11.94,5481.0,4.369,1.036,CANDIDATE,12208631
73.711039,10.062,136.7,1.77,0.284,21.1,563.0,23.81,6374.0,4.193,1.502,CANDIDATE,2443393
14.43348326,2.663,526.8,16.25,1.185,14.8,558.0,22.91,4915.0,4.627,0.702,CANDIDATE,9019191
6.35705314,1.324,272.2,1.59,0.023,17.3,990.0,227.07,5982.0,4.493,0.96,CANDIDATE,3002478
1.530515205,0.5945,659.7,0.84,0.882,23.2,608.0,32.46,3462.0,5.004,0.259,CANDIDATE,8631751
17.6997392,2.76,752.7,1.96,0.105,19.8,523.0,17.73,4807.0,4.583,0.742,CANDIDATE,4172746
0.754457729,0.5891,248.2,2.07,0.677,31.1,2131.0,4879.62,5561.0,4.25,1.193,CANDIDATE,5095635
62.6825769,2.327,398.9,39.8,1.095,17.8,916.0,166.36,7058.0,3.648,3.101,CANDIDATE,12254688
16.2707207,5.707,468.0,28.42,1.187,13.0,827.0,110.79,6117.0,4.315,1.244,CANDIDATE,4172013
5.42204257,2.952,79.1,1.39,0.94,10.7,1222.0,527.11,6123.0,4.263,1.263,CANDIDATE,1996180
24.1073172,10.465,104.2,2.74,0.693,23.6,1065.0,304.22,6585.0,3.813,2.517,CANDIDATE,2305866
51.5738653,2.784,900.7,2.41,0.275,13.2,417.0,7.12,5380.0,4.581,0.813,CANDIDATE,9712350
0.827151296,1.385,272.4,19.1,0.281,8.1,5171.0,168151.39,4452.0,2.28,11.895,CANDIDATE,9580167
11.6191707,1.819,700.4,2.21,0.059,18.5,756.0,77.43,5870.0,4.56,0.834,CANDIDATE,7984574
